age,age_of_english_onset,audio_url,birth_place,english_learning_method,english_residence,has_ipa,language,length_english_residence_years,native_language,note,other_languages,page_url,sample_id,sex,speaker_num,tier
38.0,13.0,https://accent.gmu.edu/audio/dutch1.mp3,"nijmegen, netherlands",academic,uk,True,dutch,0.1,dutch,residence 0.1y,german,https://accent.gmu.edu/samples/dutch1/,dutch1,male,1,primary
41.0,14.0,https://accent.gmu.edu/audio/dutch2.mp3,"amsterdam, netherlands",academic,uk,True,dutch,0.1,dutch,residence 0.1y,french german,https://accent.gmu.edu/samples/dutch2/,dutch2,male,2,primary
19.0,6.0,https://accent.gmu.edu/audio/dutch3.mp3,"alkmaar, netherlands",academic,N/A,True,dutch,0.0,dutch,residence 0y,german esperanto,https://accent.gmu.edu/samples/dutch3/,dutch3,male,3,primary
18.0,10.0,https://accent.gmu.edu/audio/dutch4.mp3,"bilzen, flanders, belgium",academic,N/A,True,dutch,0.0,dutch,residence 0y,french,https://accent.gmu.edu/samples/dutch4/,dutch4,male,4,primary
54.0,13.0,https://accent.gmu.edu/audio/dutch5.mp3,"rotterdam, netherlands",academic,usa,True,dutch,11.0,dutch,residence 11y (over 5y threshold),french german spanish portuguese italian,https://accent.gmu.edu/samples/dutch5/,dutch5,female,5,relaxed_residence
46.0,10.0,https://accent.gmu.edu/audio/dutch6.mp3,"brussels, belgium",academic,usa,True,dutch,25.0,dutch,residence 25y (over 5y threshold),french german,https://accent.gmu.edu/samples/dutch6/,dutch6,female,6,relaxed_residence
68.0,10.0,https://accent.gmu.edu/audio/dutch7.mp3,"amsterdam, netherlands",academic,usa,True,dutch,4.0,dutch,residence 4y,german french,https://accent.gmu.edu/samples/dutch7/,dutch7,male,7,primary
35.0,12.0,https://accent.gmu.edu/audio/dutch8.mp3,"alphen aan de ryn, netherlands",academic,usa,True,dutch,0.1,dutch,residence 0.1y,spanish german french,https://accent.gmu.edu/samples/dutch8/,dutch8,female,8,primary
68.0,12.0,https://accent.gmu.edu/audio/dutch9.mp3,"almelo, netherlands",academic,usa,True,dutch,3.0,dutch,residence 3y,german french,https://accent.gmu.edu/samples/dutch9/,dutch9,female,9,primary
39.0,12.0,https://accent.gmu.edu/audio/dutch10.mp3,"essen, belgium",naturalistic,N/A,True,dutch,0.0,dutch,residence 0y,french german,https://accent.gmu.edu/samples/dutch10/,dutch10,male,10,primary
41.0,14.0,https://accent.gmu.edu/audio/dutch11.mp3,"brugge, belgium",academic,usa,True,dutch,5.0,dutch,residence 5y (over 5y threshold),french german italian czech,https://accent.gmu.edu/samples/dutch11/,dutch11,male,11,relaxed_residence
36.0,10.0,https://accent.gmu.edu/audio/dutch12.mp3,"oosterbeek, netherlands",academic,usa,True,dutch,0.5,dutch,residence 0.5y,german french,https://accent.gmu.edu/samples/dutch12/,dutch12,male,12,primary
33.0,10.0,https://accent.gmu.edu/audio/dutch13.mp3,"zwolle, netherlands",academic,usa,True,dutch,0.5,dutch,residence 0.5y,german spanish chinese,https://accent.gmu.edu/samples/dutch13/,dutch13,female,13,primary
35.0,12.0,https://accent.gmu.edu/audio/dutch14.mp3,"zwolle, netherlands",academic,N/A,True,dutch,0.0,dutch,residence 0y,german french italian,https://accent.gmu.edu/samples/dutch14/,dutch14,female,14,primary
23.0,10.0,https://accent.gmu.edu/audio/dutch15.mp3,"nunspeet, netherlands",naturalistic,south africa,True,dutch,9.0,dutch,residence 9y (over 5y threshold),afrikaans low saxon,https://accent.gmu.edu/samples/dutch15/,dutch15,male,15,relaxed_residence
23.0,12.0,https://accent.gmu.edu/audio/dutch16.mp3,"antwerp, belgium",academic,N/A,True,dutch,0.0,dutch,residence 0y,french german,https://accent.gmu.edu/samples/dutch16/,dutch16,female,16,primary
21.0,12.0,https://accent.gmu.edu/audio/dutch17.mp3,"wilrijk, belgium",academic,N/A,True,dutch,0.0,dutch,residence 0y,french spanish german,https://accent.gmu.edu/samples/dutch17/,dutch17,female,17,primary
23.0,14.0,https://accent.gmu.edu/audio/dutch18.mp3,"antwerp, belgium",academic,N/A,True,dutch,0.0,dutch,residence 0y,french,https://accent.gmu.edu/samples/dutch18/,dutch18,male,18,primary
22.0,11.0,https://accent.gmu.edu/audio/dutch19.mp3,"heist-op-den-berg, belgium",academic,N/A,True,dutch,0.0,dutch,residence 0y,french spanish,https://accent.gmu.edu/samples/dutch19/,dutch19,female,19,primary
21.0,13.0,https://accent.gmu.edu/audio/dutch20.mp3,"vlaams-brabant, belgium",academic,usa,True,dutch,0.75,dutch,residence 0.75y,french german,https://accent.gmu.edu/samples/dutch20/,dutch20,female,20,primary
21.0,13.0,https://accent.gmu.edu/audio/dutch21.mp3,"diest, belgium",academic,N/A,True,dutch,0.0,dutch,residence 0y,french,https://accent.gmu.edu/samples/dutch21/,dutch21,female,21,primary
23.0,13.0,https://accent.gmu.edu/audio/dutch22.mp3,"essen, belgium",academic,N/A,True,dutch,0.0,dutch,residence 0y,french german,https://accent.gmu.edu/samples/dutch22/,dutch22,female,22,primary
23.0,13.0,https://accent.gmu.edu/audio/dutch23.mp3,"antwerp, belgium",academic,N/A,True,dutch,0.0,dutch,residence 0y,french german,https://accent.gmu.edu/samples/dutch23/,dutch23,male,23,primary
23.0,14.0,https://accent.gmu.edu/audio/dutch24.mp3,"seoul, south korea",academic,N/A,True,dutch,0.0,dutch,residence 0y,none,https://accent.gmu.edu/samples/dutch24/,dutch24,female,24,primary
23.0,13.0,https://accent.gmu.edu/audio/dutch25.mp3,"wilrijk, belgium",academic,N/A,True,dutch,0.0,dutch,residence 0y,french german mandarin,https://accent.gmu.edu/samples/dutch25/,dutch25,female,25,primary
23.0,13.0,https://accent.gmu.edu/audio/dutch26.mp3,"turnhout, belgium",academic,N/A,True,dutch,0.0,dutch,residence 0y,french german italian,https://accent.gmu.edu/samples/dutch26/,dutch26,female,26,primary
21.0,13.0,https://accent.gmu.edu/audio/dutch27.mp3,"antwerp, belgium",academic,usa,True,dutch,1.0,dutch,residence 1y,french german,https://accent.gmu.edu/samples/dutch27/,dutch27,female,27,primary
22.0,8.0,https://accent.gmu.edu/audio/dutch28.mp3,"antwerp, belgium",naturalistic,N/A,True,dutch,0.0,dutch,residence 0y,french german,https://accent.gmu.edu/samples/dutch28/,dutch28,male,28,primary
29.0,7.0,https://accent.gmu.edu/audio/dutch29.mp3,"ede, netherlands",academic,N/A,True,dutch,0.0,dutch,residence 0y,german french,https://accent.gmu.edu/samples/dutch29/,dutch29,male,29,primary
21.0,14.0,https://accent.gmu.edu/audio/dutch30.mp3,"sint-niklaas, belgium",academic,N/A,True,dutch,0.0,dutch,residence 0y,french,https://accent.gmu.edu/samples/dutch30/,dutch30,female,30,primary
23.0,13.0,https://accent.gmu.edu/audio/dutch31.mp3,"antwerp, belgium",academic,N/A,True,dutch,0.0,dutch,residence 0y,french,https://accent.gmu.edu/samples/dutch31/,dutch31,female,31,primary
21.0,14.0,https://accent.gmu.edu/audio/dutch32.mp3,"brasschaat, belgium",academic,N/A,True,dutch,0.0,dutch,residence 0y,french german spanish,https://accent.gmu.edu/samples/dutch32/,dutch32,male,32,primary
22.0,9.0,https://accent.gmu.edu/audio/dutch33.mp3,"mechelen, belgium",naturalistic,N/A,True,dutch,0.0,dutch,residence 0y,french,https://accent.gmu.edu/samples/dutch33/,dutch33,female,33,primary
