sample_id,language,speaker_num,sex,age,birth_place,native_language,other_languages,age_of_english_onset,english_learning_method,english_residence,length_english_residence_years,has_ipa,page_url,audio_url,tier,selection_note
dutch28,dutch,28,male,22.0,"antwerp, belgium",dutch,french german,8.0,naturalistic,N/A,0.0,True,https://accent.gmu.edu/samples/dutch28/,https://accent.gmu.edu/audio/dutch28.mp3,primary,residence 0y
dutch2,dutch,2,male,41.0,"amsterdam, netherlands",dutch,french german,14.0,academic,uk,0.1,True,https://accent.gmu.edu/samples/dutch2/,https://accent.gmu.edu/audio/dutch2.mp3,primary,residence 0.1y
dutch29,dutch,29,male,29.0,"ede, netherlands",dutch,german french,7.0,academic,N/A,0.0,True,https://accent.gmu.edu/samples/dutch29/,https://accent.gmu.edu/audio/dutch29.mp3,primary,residence 0y
dutch40,dutch,40,male,25.0,"dordrecht, netherlands",dutch,german french,9.0,academic,N/A,0.0,True,https://accent.gmu.edu/samples/dutch40/,https://accent.gmu.edu/audio/dutch40.mp3,primary,residence 0y
dutch32,dutch,32,male,21.0,"brasschaat, belgium",dutch,french german spanish,14.0,academic,N/A,0.0,True,https://accent.gmu.edu/samples/dutch32/,https://accent.gmu.edu/audio/dutch32.mp3,primary,residence 0y
dutch3,dutch,3,male,19.0,"alkmaar, netherlands",dutch,german esperanto,6.0,academic,N/A,0.0,True,https://accent.gmu.edu/samples/dutch3/,https://accent.gmu.edu/audio/dutch3.mp3,primary,residence 0y
dutch50,dutch,50,male,35.0,"tilburg, netherlands",dutch,frisian afrikaans german french esperanto,9.5,academic,N/A,0.0,False,https://accent.gmu.edu/samples/dutch50/,https://accent.gmu.edu/audio/dutch50.mp3,primary,residence 0y
dutch10,dutch,10,male,39.0,"essen, belgium",dutch,french german,12.0,naturalistic,N/A,0.0,True,https://accent.gmu.edu/samples/dutch10/,https://accent.gmu.edu/audio/dutch10.mp3,primary,residence 0y
dutch43,dutch,43,male,21.0,"rotterdam, netherlands",dutch,french german,11.0,academic,usa,0.5,False,https://accent.gmu.edu/samples/dutch43/,https://accent.gmu.edu/audio/dutch43.mp3,primary,residence 0.5y
dutch4,dutch,4,male,18.0,"bilzen, flanders, belgium",dutch,french,10.0,academic,N/A,0.0,True,https://accent.gmu.edu/samples/dutch4/,https://accent.gmu.edu/audio/dutch4.mp3,primary,residence 0y
